2019/04/19 23:40:37 [error] 27729#27729: *210572 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 112.80.210.184, server: localhost, request: "GET http://www.boxun.com/ HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "www.boxun.com"
2019/04/19 23:40:37 [error] 27729#27729: *210574 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 112.80.210.184, server: localhost, request: "GET http://www.epochtimes.com/ HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "www.epochtimes.com"
2019/04/19 23:40:37 [error] 27729#27729: *210570 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 112.80.210.184, server: localhost, request: "GET http://www.123cha.com/ HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "www.123cha.com"
2019/04/19 23:40:37 [error] 27729#27729: *210571 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 112.80.210.184, server: localhost, request: "GET http://www.minghui.org/ HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "www.minghui.org"
2019/04/19 23:40:37 [error] 27729#27729: *210573 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 112.80.210.184, server: localhost, request: "GET http://wujieliulan.com/ HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "wujieliulan.com"
2019/06/29 21:20:31 [error] 32493#32493: *84111 connect() failed (111: Connection refused) while connecting to upstream, client: 163.177.13.2, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "www.wangtanxu.xyz"
2019/09/07 09:34:30 [error] 32492#32492: *180355 readv() failed (104: Connection reset by peer) while reading upstream, client: 210.21.234.3, server: localhost, request: "POST //_async/AsyncResponseService HTTP/1.1", upstream: "http://112.74.47.105:81//_async/AsyncResponseService", host: "112.74.47.105"
2019/09/17 10:50:51 [error] 32494#32494: *191286 readv() failed (104: Connection reset by peer) while reading upstream, client: 210.21.234.3, server: localhost, request: "POST //wls-wsat/CoordinatorPortType HTTP/1.1", upstream: "http://112.74.47.105:81//wls-wsat/CoordinatorPortType", host: "112.74.47.105"
2019/09/17 11:36:33 [error] 32494#32494: *191311 readv() failed (104: Connection reset by peer) while reading upstream, client: 210.21.234.3, server: localhost, request: "POST //_async/AsyncResponseService HTTP/1.1", upstream: "http://112.74.47.105:81//_async/AsyncResponseService", host: "112.74.47.105"
2019/09/17 12:58:07 [error] 32494#32494: *191366 readv() failed (104: Connection reset by peer) while reading upstream, client: 210.21.234.3, server: localhost, request: "POST //_async/AsyncResponseService HTTP/1.1", upstream: "http://112.74.47.105:81//_async/AsyncResponseService", host: "112.74.47.105"
2019/09/18 08:42:04 [error] 32494#32494: *192261 readv() failed (104: Connection reset by peer) while reading upstream, client: 210.21.234.3, server: localhost, request: "POST //_async/AsyncResponseService HTTP/1.1", upstream: "http://112.74.47.105:81//_async/AsyncResponseService", host: "112.74.47.105"
2019/10/27 21:02:11 [error] 32494#32494: *247587 upstream timed out (110: Connection timed out) while connecting to upstream, client: 120.244.220.23, server: localhost, request: "GET / HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "112.74.47.105"
2019/10/27 21:04:19 [error] 32494#32494: *247591 upstream timed out (110: Connection timed out) while connecting to upstream, client: 120.244.220.23, server: localhost, request: "GET / HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "112.74.47.105"
2019/10/27 21:05:59 [error] 32494#32494: *247591 upstream timed out (110: Connection timed out) while connecting to upstream, client: 120.244.220.23, server: localhost, request: "GET / HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "112.74.47.105"
2019/10/27 21:17:59 [error] 32494#32494: *247615 connect() failed (111: Connection refused) while connecting to upstream, client: 120.244.220.23, server: localhost, request: "GET / HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "112.74.47.105"
2019/10/27 21:19:54 [error] 32494#32494: *247615 upstream timed out (110: Connection timed out) while connecting to upstream, client: 120.244.220.23, server: localhost, request: "GET / HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "112.74.47.105"
2019/10/27 21:27:32 [error] 32494#32494: *247668 upstream timed out (110: Connection timed out) while connecting to upstream, client: 120.244.220.23, server: localhost, request: "GET / HTTP/1.1", upstream: "http://112.74.47.105:81/", host: "112.74.47.105"
